Smiles,logSw
O=C(CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC)OC1CCCC1,2.92
O(C(=O)C(CNC(=O)C(N)CC(O)=O)C)C1CCCCC1,2.94
CC(C)(C)SCC(CC(=O)OC)NC(=O)C(N)CC(=O)O,2.95
O=C(OC)C(Cc1ccccc1)NC(=O)C(NCC1CCCCC1)CC(=O)O,2.95
O=C(OC)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC1CCCCC1,2.95
CC(C)(C)SCC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,2.95
O(C(=O)CNC(=O)C(N)CC(O)=O)CCC,2.98
O(C(=O)C1CCC1)CCNC(=O)C(N)CC(O)=O,2.99
S1(OC=CC(=O)N1)(=O)=O,3
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(F)C1O,3
Clc1cc(N\C(=N\c2cc(Cl)cc(Cl)c2)NCC(=O)O)cc(Cl)c1,3
O(C(=O)CNC(=O)C(N)CC(O)=O)C1CCCCC1,3.02
O=C(OC1CC(C)CCC1)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,3.02
O(C(=O)C1CC1)CCNC(=O)C(N)CC(O)=O,3.03
O(C(=O)C(NC(=O)C(N)CC(O)=O)CC)C,3.04
O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)C(C)C,3.06
O=C(OC)C(Cc1ccccc1)NC(=O)C(NC1CCCCCCC1)CC(=O)O,3.07
O=C(OC1CCCCC1C)C(NC(=O)[C@H](N)CC(=O)O)C(=O)OCC,3.09
O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)C(C)C,3.1
O(C)c1ccc(cc1)\C=C\C,3.11
O(CCC(NC(=O)C(N)CC(O)=O)C)CC,3.14
O=C(O)CC(NCCC(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC,3.14
O=C(OC1CCCCC1)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,3.14
O(C(=O)C(CC(NC(=O)C(N)CC(O)=O)C(OC)=O)C)C,3.15
O(C(=O)CC(NC(=O)C(N)CC(O)=O)C)CC,3.16
O(C(=O)CCNC(=O)C(N)CC(O)=O)C1CCCC1,3.16
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)CCC)C,3.16
o1cccc1CC(NC(=O)C(N)CC(O)=O)C,3.16
O(C(=O)C(C)C)CCNC(=O)C(N)CC(O)=O,3.16
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)CC,3.16
O=C(O)C[C@@H](N)C(=O)NC(C(=O)OC1CC2CCC1(C)C2(C)C)C(=O)OC,3.16
OC(=O)CC(N)C(=O)NC(CCCCCC)C,3.17
CC1=CC(=O)[C@@H](CC1)C(O)(C)CC\C=C(/C)C,3.176091259
OC(=O)CC(N)C(=O)NC(Cc1ccccc1)(C)C,3.19
O(CC(NC(=O)C(N)CC(O)=O)C)c1ccccc1,3.19
O(C(=O)C(NC(=O)C(N)CC(O)=O)C)C,3.2
O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C(O)C,3.21
O(C(=O)C(CC)C)CC(NC(=O)C(N)CC(O)=O)CO,3.21
O=C(O)CC(\N=C\CCC)C(=O)NC(Cc1ccccc1)C(=O)OC,3.21
O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)C(C)C,3.22
O(C(=O)CCNC(=O)C(N)CC(O)=O)C1CCCCC1,3.22
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)CO,3.23
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)C,3.26
ClC[C@]1(OC(CO)C(O)C1O)OC1OC(CO)C(O)C(O)C1O,3.3
ClCC1O[C@](OC2OC(CO)C(O)C(O)C2O)(CO)C(O)C1O,3.3
S1(OC=C(CC)C(=O)N1)(=O)=O,3.3
S1(OC=C(C)C(=O)N1)(=O)=O,3.3
O(C(C)(C)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,3.3
O(C(=O)CC(C)C)CC(NC(=O)C(N)CC(O)=O)CO,3.3
O=C(OC)C(Cc1ccccc1)NC(=O)C(NC1CCCCCC1)CC(=O)O,3.3
O=C(O)CC(NCC(CC)CC)C(=O)NC(Cc1ccccc1)C(=O)OC,3.34
O(C(=O)CC(C)C)CCNC(=O)C(N)CC(O)=O,3.36
CC.OC(O)CC(NCCC)C(=O)NC(C)C(=O)NC(C)Oc1ccccc1,3.36
CC.O=C(O)CC(NCCC)C(=O)NC(Cc1ccccc1)C(=O)OCC,3.36
O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)CC,3.38
O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)CC,3.38
ClCC1OC(O[C@@]2(OC(CCl)C(O)C2O)CCl)C(O)C(O)C1O,3.4
O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)CC,3.4
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CCCC,3.41
OC(=O)CC(N)C(=O)NC(CCCCC)C,3.43
O(C(=O)CCC)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,3.43
O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)CCC,3.43
O=C(O)CNC(\N)=N/c1ccc(cc1)C#N,3.431363764
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)C1CCCCC1,3.44
S(O)(=O)(=O)NC1CCCCC1.[NaH],3.47
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(Br)C1O,3.477121255
ClC1C(O)[C@@](OC1CO)(OC1OC(CO)C(O)C(O)C1O)CCl,3.48
S1(OC(C)=C(CCC)C(=O)N1)(=O)=O,3.48
O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)CC,3.48
O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)CO,3.48
S(O)(=O)(=O)NC1CCCCC1,3.48
O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)C,3.49
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCCC)C,3.49
Fc1ccc(cc1)CC(NC(=O)C(N)CC(O)=O)C,3.5
[CaH2].S(O)(=O)(=O)NC1CCCCC1.S(O)(=O)(=O)NC1CCCCC1,3.52
O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,3.53
O(C(=O)C(CC)CC)CC(NC(=O)C(N)CC(O)=O)C,3.53
OC(=O)CC(N)C(=O)NC(CCC(C)C)C,3.54
O1c2c(CC(O)C1c1ccc(O)cc1)c(O)cc(O)c2C1c2c(OC(C1O)c1ccc(O)cc1)c1[C@@H]3c4c(O[C@@](Oc1cc2O)([C@H]3O)c1ccc(O)cc1)cc(O)cc4O,3.54
OC(=O)C(N)Cc1c2c([nH]c1)cccc2,3.54
N#Cc1ccc(cc1)\N=C(\NCC(=O)O)NC12CC3CC(CC3C1)C2,3.544068044
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCC)CCC,3.56
OC(=O)CC(N)C(=O)NC(Cc1ccccc1)C,3.56
CC.OC(O)CC(NCCC)C(=O)NC(C(C)C)C(=O)NC(Oc1ccccc1)CC,3.57
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C(C)C,3.58
OC(=O)CC(N)C(=O)NC(C(CCCCC)C)C,3.58
O(C(=O)CCC)CC(NC(=O)C(N)CC(O)=O)C,3.58
FC1C(O)C(O)C(OC1CO)O[C@@]1(OC(CF)C(O)C1O)CF,3.6
O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C(C)C,3.6
S(CC(NC(=O)C(N)CC(O)=O)C(OC)=O)CC,3.6
OC(=O)CC(N)C(=O)NC(CCCC)C,3.6
O1C(CO)C(O)C(O)C(O)C1Oc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(O)c1,3.6
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C,3.61
CC(C)(C)OCC(NC(=O)C(CC(=O)O)NCCC)C(=O)OC.CC,3.63
O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,3.65
CC.O=C(O)CC(NCCC)C(=O)NC(COc1ccccc1)C(=O)OC,3.66
O(C(=O)C1CC1C)CC(NC(=O)C(N)CC(O)=O)C,3.68
CC.OC(O)CC(NCCC)C(=O)N(CC)C(=O)NC(Oc1ccccc1)CCOC,3.69
N#Cc1ccc(cc1)/N=C(\NCC(=O)O)Nc1ccccc1C,3.698970004
N#Cc1ccc(cc1)\N=C(\NCC(=O)O)NC1CCc2ccccc21,3.698970004
O=C(O)CNC(\N[C@H](C)c1ccccc1)=N/c1ccccc1,3.698970004
O1[C@H](OC2CC[C@@]34[C@@H](CC[C@H]5[C@@]3(CC[C@]3(C)[C@]5(CC[C@@H]3C(C)[C@@H]3OC(=O)C(=CC3)C)C)C4)[C@]2(C(O)=O)C)C(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1CO,3.7
O(C(=O)C1CCCC1)CC(NC(=O)C(N)CC(O)=O)C,3.7
S1(=O)(=O)CC(Oc2c1cccc2)c1cc(O)c(OC)cc1,3.7
O(C)c1cc2CCC3C4CCC[C@]4(CCC3c2cc1O)C,3.7
O=C\C=C\c1ccccc1,3.7
O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)CO,3.71
CC.OC(O)CC(NCCC)C(=O)N(CC(C)C)C(=O)NC(Oc1ccccc1)CCOC,3.71
O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)C1CCCCC1,3.72
O1CC(O)C(O)C(O)C1OC1CC(C=O)=C(CC\C(=C\CO)\C)[C@]2(C1[C@](CCC2)(CO)C)C,3.74
O=C(O)CNC(\N[C@H](C)c1ccccc1)=N/c1cccc(c1)[N+]#[C-],3.740362689
O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)CCCC,3.75
O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CC,3.75
O=C(O)CNC(\NCCCCCC)=N/c1ccc(cc1)C#N,3.77815125
O=NOc1cccc(c1)\N=C(/NCC(=O)O)N[C@H](C)c1ccccc1,3.77815125
O1[C@@H](OC2[C@@H]3[C@](CC[C@H]3[C@](O)(C\C=C\C(O)(C)C)C)(C)[C@]3([C@H](C2)[C@@](CCC(O)=O)(C)C(CC3)C(C)=C)C)C(O)C(O)C(O)C1C,3.8
O(C(=O)C(C)(C)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,3.81
N#Cc1ccc(cc1)/N=C(\NCC(=O)O)Nc1ccc(C)cc1,3.84509804
O=NOc1ccc(cc1)\N=C(/NCC(=O)O)N[C@H](C)c1ccccc1,3.84509804
O(C(=O)C=C)CC(NC(=O)C(N)CC(O)=O)C,3.85
O(C(=O)C(NC(=O)C(N)CC(O)=O)CC)CCC,3.86
O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)C,3.86
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(I)C1O,3.875061263
OC1[C@@H](OC(CO)[C@H](Br)C1O)O[C@]1(CBr)O[C@H](CBr)C(Br)C1O,3.875061263
O=C(O)CNC(\N[C@H](C)c1ccccc1)=N/c1cc(ccc1)C(F)(F)F,3.875061263
O1[C@H](OC2CC[C@@]34[C@@H](CC[C@H]5[C@@]3(CC[C@]3(C)[C@]5(CC[C@@H]3C(C)[C@@H]3OC(=O)C(=CC3)C)C)C4)[C@]2(C(O)=O)C)C(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1C(O)=O,3.88
O1CC(O)C(O)C(O)[C@@H]1OC1[C@@H]2[C@@](CC[C@@H]2[C@@](O)(C\C=C\C(O)(C)C)C)(C)[C@]2([C@@H](C1)[C@@](CCC(O)=O)(C)C(CC2)C(C)=C)C,3.88
ClCC1O[C@](OC2OC(CO)C(O)C(O)C2O)(CCl)C(O)C1O,3.89
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCCCC)C,3.9
O(C)c1ccc(cc1O)CCC(=O)c1cc(ccc1)C(O)=O,3.9
O1c2c(C(=O)C(OC(=O)C)C1c1cc(O)c(O)cc1)c(O)cc(O)c2,3.9
O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)CC,3.92
O1C(CO)C(O)C(O)C(O)C1OC(C(O)(C)C)CCC(C)[C@H]1CC[C@]2([C@@H]3CC=C4[C@H](CCC(O[C@H]5OC(CO)C(O)C(O)C5O)C4(C)C)[C@]3(C)C(O)C[C@@]12C)C,3.92
O=C(OC1CCCCC1C)C(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,3.92
O1C(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C(O[C@@H]2OC(CO)C(O)C(O)C2O)C1OC(C(O)(C)C)CCC(C)[C@@H]1CC[C@]2([C@H]3CC=C4[C@H](CCC(O[C@H]5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C)C,3.924279286
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@]34CC[C@H]5[C@@]6(CCC[C@@]([C@H]6CC[C@]5(C3)CC4=C)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O,3.929418926
C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O,3.929418926
O=C(O)CNC(\NCCc1ccccc1)=N/c1ccc(cc1)C#N,3.929418926
O1[C@@H](OC2CC[C@]3([C@@H](CC[C@]4([C@@H]3CC[C@@H]3C5=C[C@](CC[C@]5(CC[C@@]34C)C)(C(O)=O)C)C)C2(C)C)C=O)C(O[C@@H]2OC(C(O)=O)C(O)C(O)C2O)C(O)C(O)C1C(O)=O,3.93
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CC,3.93
O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C,3.93
O1C(C)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1O[C@@]12CCC3[C@](CC1=C)(C2)CCC1[C@@](CCC[C@]13C)(C(OC1OC(CO)C(O)C(O)C1O)=O)C)CO,3.93
C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@@]34CC[C@H]5[C@@]6(CCC[C@@]([C@H]6CC[C@]5(C3)CC4=C)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O,3.93
O1C(C)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1O[C@]12CCC3[C@](CC1=C)(C2)CCC1[C@@](CCC[C@]13C)(C(OC1OC(CO)C(O)C(O)C1O)=O)C)CO,3.942008053
O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C,3.95
O=C(O)CNC(\NC(C)c1ccccc1)=N/c1ccc(cc1)C#N,3.954242509
N#Cc1ccc(cc1)/N=C(\NCC(=O)O)Nc1cc(C)ccc1,3.954242509
O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)CO,3.96
O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)CO,3.96
O1[C@@H](OC2CC[C@@]3([C@@H]4[C@@](CC[C@H]3C2(C)C)(C)[C@]2(CC[C@]3([C@H](C2=CC4=O)C[C@](CC3)(C(O)=O)C)C)C)C)C(O[C@@H]2OC(C(O)=O)C(O)C(O)C2O)C(O)C(O)C1C(O)=O,3.96
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CC(C)C,3.97
CC.OC(O)CC(NCCC)C(=O)N(CC)C(=O)NC(Oc1ccccc1)CC,3.97
O(C(=O)C(C)C)CC(NC(=O)C(N)CC(O)=O)C,3.98
O(C(=O)C(C)=C)CC(NC(=O)C(N)CC(O)=O)C,3.99
O(C(=O)CC)CC(NC(=O)C(N)CC(O)=O)CO,3.99
ClC1C(O)[C@@](OC1CCl)(OC1OC(CO)C(O)C(O)C1O)CCl,4
O1[C@@H](OC2CC[C@]3([C@@H](CC[C@]4([C@@H]3CC=C3[C@@H]5C[C@](CC[C@]5(CC[C@@]34C)C)(C(O)=O)C)C)C2(C)C)C=O)C(O[C@@H]2OC(C(O)=O)C(O)C(O)C2O)C(O)C(O)C1C(O)=O,4
O1C(C(O)=O)C(O)C(O)C(OC2OC(C(O)=O)C(O)C(O)C2O)C1OC1CC[C@]2(C(CC[C@@]3(C2CCC2C4=C[C@@](CC[C@@]4(CC[C@@]23C)C)(C(O)=O)C)C)C1(C)C)CO,4
O1C(C(O)=O)C(O)C(O)C(OC2OC(C(O)=O)C(O)C(O)C2O)C1OC1CC[C@]2(C(CC[C@@]3(C2CC=C2C4C[C@@](CC[C@@]4(CC[C@@]23C)C)(C(O)=O)C)C)C1(C)C)CO,4
O1[C@H](OC2CC[C@@]34[C@@H](CC[C@H]5[C@@]3(CC[C@]3(C)[C@]5(CC[C@@H]3C(C)[C@@H]3OC(=O)C(=CC3)C)C)C4)[C@]2(C(O)=O)C)C(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1C(OC)=O,4
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCC(OC)=O)C,4
O1C(CO)C(O)C(O)C(O)C1Oc1cc(O)c(C(=O)CCc2cc(O)c(OC)cc2)c(O)c1,4
S1c2c(COC1c1cc(O)ccc1)cccc2,4
O1c2cc(OC)ccc2C2c3c(OC[C@@]12O)cccc3,4
O1C(CO)C(O)C(O)C(OC2OC(C)C(O)C(O)C2O)C1Oc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(O)c1,4
O1C(CO)C(O)C(O)C(O[C@H]2OC(C)C(O)C(O)C2O)C1Oc1cc(O)c(C(=O)CCc2cc(O)c(O)cc2)c(O)c1,4
O1C(Cc2c(cccc2)C1=O)c1cc(O)c(OC)cc1,4
O1C(Oc2c(cccc2)C1=O)c1cc(O)c(OC)cc1,4
O1C(CO)C(O)C(O)C(OC2OC(C)C(O)C(O)C2O)C1Oc1cc(O)c(C(=O)CCc2cc(O)c(O)cc2)c(O)c1,4
Clc1cc(N/C(=N/c2ccc(C#N)cc2)NCC(=O)O)ccc1,4
O=C(OC1C(C)CCCC1C)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,4.02
O(C(C)(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(OC)=O,4.03
O=C(O)CC(NCCC(C)(C)C)C(=O)NC(Cc1ccccc1)C(=O)OC,4.04
O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@]1([C@@H]2CC[C@@]34[C@@H](CC[C@@](O[C@H]5OC(CO)C(O)C(O[C@H]6OC(CO)C(O)C(O)C6O)C5O[C@H]5OCC(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C),4.05
O1[C@@H](OC2[C@H](OC(CO)C(O)C2O)O[C@@]23CC[C@@H]4[C@@](CC2=C)(C3)CC[C@H]2[C@@](CCC[C@]24C)(C(O)=O)C)C(O)C(O)C(O)C1CO,4.05
O=C(O)C[C@@H](N)C(=O)NC(C(=O)OC1C(C)(C)C2CCC1(C)C2)C(=O)OCC,4.05
O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@]1([C@@H]2CC[C@@]34[C@@H](CC[C@@](O[C@H]5OC(CO)C(O)C(O[C@H]6OC(CO)C(O)C(O)C6O)C5O[C@H]5OCC(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C,4.051152522
O1[C@@H](OC2[C@H](OC(CO)C(O)C2O)O[C@@]23CC[C@H]4[C@@](CC2=C)(C3)CC[C@@H]2[C@](CCC[C@]24C)(C(O)=O)C)C(O)C(O)C(O)C1CO,4.051152522
O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@]1([C@@H]2CC[C@@]34[C@@H](CC[C@@](O[C@@H]5OC(CO)C(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C,4.056904851
O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@@]1([C@@H]2CC[C@]34[C@@H](CC[C@@](O[C@@H]5OC(CO)C(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C,4.06
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCCCCC)C,4.07
N#Cc1ccc(cc1)/N=C(\NCC(=O)O)NC1CCCCC1,4.079181246
O=C(O)CNC(\N[C@H](C)c1ccccc1)=N/c1cc(C)ccc1,4.079181246
IC1C(O)C(O)C(OC1CO)O[C@@]1(OC(CI)C(O)C1O)CI,4.08
ClC1C(O)C(O)C(OC1CO)O[C@@]1(OC(CO)C(O)C1O)CCl,4.08
O(C(=O)C(NC(=O)C(N)CC(O)=O)C(O)C)CCC,4.08
O(C(=O)C(CC)C)CC(NC(=O)C(N)CC(O)=O)C,4.08
O(C(=O)CC(C)C)CC(NC(=O)C(N)CC(O)=O)C,4.08
O1c2c([C@H]3c4cc(O)c(O)cc4C[C@]3(O)C1)ccc(O)c2O,4.08
O1c2cc(O)c(O)cc2C2c3c(OC[C@@]12O)c(O)c(O)cc3,4.08
O1C(CO)C(O)C(O)C(O)C1OCC1OC(OC(C(O)(C)C)CCC(C)[C@H]2CC[C@@]3([C@@H]4CC=C5[C@@H](CCC(O[C@@H]6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)C5(C)C)[C@@]4(C)C(O)C[C@]23C)C)C(O)C(O)C1O,4.096910013
O1C(CO)C(O)C(O)C(O)C1OC1C(O)C(O)C(OC1O[C@]12CCC3[C@](CC1=C)(C2)CCC1[C@@](CCC[C@@]13C)(C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)=O)C)CO,4.096910013
O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CCC,4.1
S1(OC(C)=C(C)C(=O)N1)(=O)=O,4.11
O(C(=O)C(NC(=O)C(N)CC(O)=O)Cc1ccccc1)C,4.11
O(C(=O)C(NC(=O)C(N)CC(O)=O)CCC(C)C)C,4.11
S(CC(NC(=O)C(N)CC(O)=O)C(OC)=O)CCC,4.11
O(C(=O)C1CCC1C)CC(NC(=O)C(N)CC(O)=O)C,4.13
CC.O=C(O)CC(NCCC)C(=O)NC(CC1CCCCC1)C(=O)OC,4.13
O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)CC,4.15
O(C(C)C)C(=O)C(NC(=O)C(N)CC(O)=O)C(C)C,4.15
O(C(C)(C)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,4.15
Oc1ccc(cc1)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,4.15
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[K+].[K+].[K+],4.176091259
O=C(O)CNC(\N[C@H](C)c1ccccc1)=N/c1cc(F)cc(F)c1,4.176091259
S1(OC(=CC(=O)N1)CC)(=O)=O,4.18
O(C(=O)C1CC1)CC(NC(=O)C(N)CC(O)=O)C,4.18
O(C)c1ccc(cc1O)C(Oc1ccccc1)O,4.18
O1c2c(C(=O)CC1c1cc(O)c(OCC)cc1)c(O)ccc2,4.18
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[K+].[K+].[K+],4.18
S1(OC(=CC(=O)N1)C)(=O)=O,4.19
ClC1C(O)C(O)C(OC1CO)O[C@@]1(OC(CCl)C(Cl)C1O)CO,4.2
O(C(=O)C(NC(=O)C(N)CC(O)=O)CO)CC(C)C,4.21
S(C(C)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,4.23
O(C(=O)C1CCC1)CC(NC(=O)C(N)CC(O)=O)C,4.24
N#Cc1ccc(cc1)/N=C(/NN(C)c1ccccc1)NCC(=O)O,4.255272505
O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@@]1([C@H]2CC[C@]34[C@H](CC[C@](O[C@H]5OC(CO)C(O)C(O)C5O[C@H]5OC(CO)C(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C,4.267171728
O1C(CO)C(O)C(O)C(O)C1OC(=O)[C@@]1([C@@H]2CC[C@]34[C@H](CC[C@@](O[C@@H]5OC(CO)C(O)C(O)C5O[C@H]5OC(CO)C(O)C(O)C5O)(C3)C(C4)=C)[C@@]2(CCC1)C)C,4.27
O(C(=O)C(C)(C)C)CC(NC(=O)C(N)CC(O)=O)C,4.28
ClC1C(O)C(O)C(OC1CCl)O[C@@]1(OC(CCl)C(O)C1O)CCl,4.3
O1[C@H](OC2CC[C@@]3([C@@H]4[C@](CC[C@H]3C2(C)C)(C)[C@]2(CC[C@]3([C@H](C2=CC4=O)C[C@](CC3)(C(O)=O)C)C)C)C)C(O[C@@H]2OC(C(O)=O)C(O)C(O)C2O)C(O)C(O)C1C(O)=O.N,4.3
O1C(COC(=O)C)C(O)C(O)C1OC1CC[C@]2(C(CC[C@@]3(C2CC(OC2OC(C)C(O)C(O)C2O)C2[C@@]3(CCC2[C@@]2(OC(CC2)C(O)(C)C)C)C)C)C1(C)C)C,4.3
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[Na+].[Na+] ,4.3
O(CC)c1ccc(NC(=O)N)cc1,4.3
O1CC(Cc2c1cccc2)c1cc(O)c(OC)cc1,4.3
S1c2c(CCC1c1cc(O)c(OC)cc1)cccc2,4.3
S1c2c(COC1c1cc(O)c(O)cc1)cccc2,4.3
S1c2c(SC1c1cc(O)c(OC)cc1)cccc2,4.3
C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)[O-])O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)[O-])O)O)O)C)(C)C(=O)[O-].[Na+].[Na+] C(O)C1C(O)=O,4.301029996
Clc1cc(cc(Cl)c1)/N=C(/NC1CCCCCC1)NCC(=O)O,4.301029996
